metadata,chem_id,similarity,name,dsstox_sid,dsstox_cid,casrn,mol_weight,smiles,jaccard_chm_pfas,fp_list,fp_bitstring
,DTXCID501324927,0.166666667,"12,12,13,13,14,14,15,15,16,16,17,17,17-Tridecafluoroheptadecan-1-ol",DTXSID80895411,DTXCID501324927,134052-01-0,490.349,OCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.166666667,"pfas_chain:perF-linear_cap_C6_excl_mod,pfas_chain:perF-linear_cap_C6_plus",1.10E+24
,DTXCID101325092,0.166666667,"12,12,13,13,14,14,15,15,16,16,17,17,17-Tridecafluoroheptadecanoyl chloride",DTXSID80895577,DTXCID101325092,118624-66-1,522.78,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCCCCCC(Cl)=O,0.166666667,"pfas_chain:perF-linear_cap_C6_excl_mod,pfas_chain:perF-linear_cap_C6_plus",1.10E+24
,DTXCID3039616,0.166666667,12:2 Fluorotelomer alcohol,DTXSID3068170,DTXCID3039616,39239-77-5,664.153,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.166666667,"pfas_bond:COH_alcohol_pri-alkyl_CF,pfas_chain:FT_n2_hetero,pfas_chain:FT_n2_O,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_C9_plus,pfas_chain:perF-linear_cap_C12_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C9_plus",1.00E+98
,DTXCID901021911,0.166666667,12:2 Fluorotelomer dihydrogen phosphate,DTXSID40880489,DTXCID901021911,57678-07-6,744.132,OP(O)(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.166666667,"pfas_chain:FT_n2_hetero,pfas_chain:FT_n2_O,pfas_chain:FT_n2_OP,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_C9_plus,pfas_chain:perF-linear_cap_C12_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C9_plus",1.01E+50
,DTXCID601022384,0.166666667,"12:2 Fluorotelomer dihydrogen phosphate (ester), diammonium salt",DTXSID80881071,DTXCID601022384,93857-46-6,778.194,[NH4+].[NH4+].[O-]P([O-])(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.166666667,"pfas_chain:FT_n2_hetero,pfas_chain:FT_n2_O,pfas_chain:FT_n2_OP,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_C9_plus,pfas_chain:perF-linear_cap_C12_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C9_plus",1.01E+50
,DTXCID7042859,0.166666667,14:2 Fluorotelomer alcohol,DTXSID4069422,DTXCID7042859,60699-51-6,764.169,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.166666667,"pfas_bond:COH_alcohol_pri-alkyl_CF,pfas_chain:FT_n2_hetero,pfas_chain:FT_n2_O,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_C9_plus,pfas_chain:perF-linear_cap_C12_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C9_plus",1.00E+98
,DTXCID10163473,0.166666667,14:2 Fluorotelomer dihydrogen phosphate,DTXSID80240982,DTXCID10163473,94200-54-1,844.147,OP(O)(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.166666667,"pfas_chain:FT_n2_hetero,pfas_chain:FT_n2_O,pfas_chain:FT_n2_OP,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_C9_plus,pfas_chain:perF-linear_cap_C12_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C9_plus",1.01E+50
,DTXCID301022385,0.166666667,14:2 Fluorotelomer dihydrogen phosphate diammonium salt,DTXSID40881072,DTXCID301022385,93857-47-7,878.209,[NH4+].[NH4+].[O-]P([O-])(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.166666667,"pfas_chain:FT_n2_hetero,pfas_chain:FT_n2_O,pfas_chain:FT_n2_OP,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_C9_plus,pfas_chain:perF-linear_cap_C12_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C9_plus",1.01E+50
,DTXCID001518052,0.166666667,15:2 Fluorotelomer alcohol,DTXSID101033019,DTXCID001518052,176676-69-0,814.176,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.166666667,"pfas_bond:COH_alcohol_pri-alkyl_CF,pfas_chain:FT_n2_hetero,pfas_chain:FT_n2_O,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_C9_plus,pfas_chain:perF-linear_cap_C12_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C9_plus",1.00E+98
,DTXCID5044493,0.166666667,16:2 Fluorotelomer alcohol,DTXSID6070221,DTXCID5044493,65104-67-8,864.184,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.166666667,"pfas_bond:COH_alcohol_pri-alkyl_CF,pfas_chain:FT_n2_hetero,pfas_chain:FT_n2_O,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_C9_plus,pfas_chain:perF-linear_cap_C12_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C9_plus",1.00E+98
