Group,Mouse ID,Sex,Number of Fecal Pellet**,PFOA,PFOS,PFBA,PFPeA,PFHxA,PFHpA,PFNA,PFDA,PFUdA,PFDoA,PFTrDA,PFTeDA,HFPO-DA,DONA,PFBS,PFPeS,PFHxS,PFHpS,PFNS,PFDS,4_2-FTS,6_2_FTS,8_2-FTS
Naive,MN65,Male,2,<MDL,<MDL,0.199,<MDL,0.058,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
Naive,MN66,Male,2,<MDL,<MDL,0.46,<MDL,0.049,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
Naive,MN67,Male,1,<MDL,0.5,0.246,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
Naive,MN68,Male,0,,,,,,,,,,,,,,,,,,,,,,,
Naive,MN69,Male,1,<MDL,0.552,0.174,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
Naive,MN70,Male,1,0.147,0.558,0.351,<MDL,0.051,0.064,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.041,<MDL,<MDL
Naive,MN71,Male,0,,,,,,,,,,,,,,,,,,,,,,,
Naive,MN72,Male,1,0.172,0.289,0.425,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
Vehicle,MV73,Male,0,,,,,,,,,,,,,,,,,,,,,,,
Vehicle,MV74,Male,0,,,,,,,,,,,,,,,,,,,,,,,
Vehicle,MV75,Male,1,0.262,0.468,0.439,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
Vehicle,MV76,Male,1,0.226,<MDL,0.272,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
Vehicle,MV77,Male,0,,,,,,,,,,,,,,,,,,,,,,,
Vehicle,MV78,Male,1,0.077,<MDL,0.256,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
Vehicle,MV79,Male,0,,,,,,,,,,,,,,,,,,,,,,,
Vehicle,MV80,Male,0,,,,,,,,,,,,,,,,,,,,,,,
