metadata,chem_id,similarity,name,dsstox_sid,dsstox_cid,casrn,mol_weight,smiles,jaccard_chm_pfas,fp_list,fp_bitstring
run_at: 2025-12-10 16:16:02,DTXCID1011864,1,Perfluorooctanesulfonic acid,DTXSID3031864,DTXCID1011864,1763-23-1,500.13,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:OZ_oxide_hydroxy_CF,pfas_bond:S(=O)O_sulfonicAcid_acyclic_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
target: DTXCID1011864,DTXCID701526410,1,Perfluorooctanesulfonic acid diethylamine salt,DTXSID901043971,DTXCID701526410,2205029-08-7,573.26,CCNCC.OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:OZ_oxide_hydroxy_CF,pfas_bond:S(=O)O_sulfonicAcid_acyclic_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
fp_id: chm_pfas,DTXCID201517824,0.875,1-Hexadecylpyridinium perfluoro-1-octanesulfonate,DTXSID701032807,DTXCID201517824,334529-63-4,803.66,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.875,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S(=O)O_sulfonicAcid_acyclic_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
fp_weight: None,DTXCID2037924,0.875,Ammonium perfluorooctanesulfonate,DTXSID9067435,DTXCID2037924,29081-56-9,517.16,[NH4+].[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.875,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S(=O)O_sulfonicAcid_acyclic_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
metric_name: Jaccard,DTXCID9046653,0.875,Bis(2-hydroxyethyl)ammonium perfluorooctanesulfonic acid,DTXSID2072049,DTXCID9046653,70225-14-8,605.26,OCC[NH2+]CCO.[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.875,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S(=O)O_sulfonicAcid_acyclic_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
filter_by: chm_pfas,DTXCID501323379,0.875,"Diphenyl(2,4,6-trimethylphenyl)sulfonium perfluoro-1-octanesulfonate",DTXSID00893373,DTXCID501323379,258341-99-0,804.58,CC1=CC(C)=C([S+](C2=CC=CC=C2)C2=CC=CC=C2)C(C)=C1.[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.875,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S(=O)O_sulfonicAcid_acyclic_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
fp_name: Chem: PFAS,DTXCID101478502,0.875,"Iodonium, bis[4-(1,1-dimethylethyl)phenyl]-, salt with perfluoro-1-octanesulfonic acid (1:1)",DTXSID50882934,DTXCID101478502,213740-80-8,892.45,CC(C)(C)C1=CC=C([I+]C2=CC=C(C=C2)C(C)(C)C)C=C1.[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.875,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S(=O)O_sulfonicAcid_acyclic_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
chem_id: ID of neighbor,DTXCID0012421,0.875,Lithium perfluorooctanesulfonate,DTXSID2032421,DTXCID0012421,29457-72-5,506.06,[Li+].[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.875,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S(=O)O_sulfonicAcid_acyclic_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
similarity: Similarity of target chemical to neighbor,DTXCID101284977,0.875,Magnesium perfluorooctanesulfonate,DTXSID80881314,DTXCID101284977,91036-71-4,1022.54,[Mg++].[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.875,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S(=O)O_sulfonicAcid_acyclic_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
name: Name of neighbor,DTXCID601325423,0.875,"N,N,N-Triethyldecan-1-aminium heptadecafluorooctane-1-sulfonate",DTXSID50895928,DTXCID601325423,773895-92-4,741.59,CCCCCCCCCC[N+](CC)(CC)CC.[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.875,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S(=O)O_sulfonicAcid_acyclic_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
dsstox_sid: DSSTox Substance ID of neighbor,DTXCID901325422,0.875,"N,N,N-Tripropylpentan-1-aminium heptadecafluorooctane-1-sulfonate",DTXSID90895927,DTXCID901325422,56773-56-9,713.53,CCCCC[N+](CCC)(CCC)CCC.[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.875,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S(=O)O_sulfonicAcid_acyclic_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
dsstox_cid: DSSTox Chemical ID of neighbor,DTXCID401325415,0.875,"N,N-Dibutyl-N-methylbutan-1-aminium heptadecafluorooctane-1-sulfonate",DTXSID70895920,DTXCID401325415,124472-68-0,699.51,CCCC[N+](C)(CCCC)CCCC.[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.875,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S(=O)O_sulfonicAcid_acyclic_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
casrn: CASRN of neighbor,DTXCID801022730,0.875,"N-Decyl-N,N-dimethyl-1-decanaminium perfluorooctanesulfonate",DTXSID00882964,DTXCID801022730,251099-16-8,825.75,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.875,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S(=O)O_sulfonicAcid_acyclic_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
mol_weight: Molecular weight of neighbor,DTXCID80820526,0.875,Perfluorooctanesulfonate,DTXSID80108992,DTXCID80820526,45298-90-6,499.12,[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.875,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S(=O)O_sulfonicAcid_acyclic_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
smiles: SMILES of neighbor,DTXCID6047020,0.875,Piperidinium perfluorooctanesulfonate,DTXSID0072352,DTXCID6047020,71463-74-6,585.28,C1CC[NH2+]CC1.[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.875,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S(=O)O_sulfonicAcid_acyclic_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
jaccard_chm_pfas: Similarity for Chem: PFAS,DTXCID6017706,0.875,Potassium perfluorooctanesulfonate,DTXSID8037706,DTXCID6017706,2795-39-3,538.22,[K+].[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.875,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S(=O)O_sulfonicAcid_acyclic_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
fp_list: Comma separated list of FP elements.,DTXCID00586213,0.875,Sodium perfluorooctanesulfonate,DTXSID50635462,DTXCID00586213,4021-47-0,522.11,[Na+].[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.875,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S(=O)O_sulfonicAcid_acyclic_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
fp_bitstring: FP bitstring.,DTXCID40535760,0.875,Tetrabutylammonium perfluorooctanesulfonate,DTXSID40584995,DTXCID40535760,111873-33-7,741.59,CCCC[N+](CCCC)(CCCC)CCCC.[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.875,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S(=O)O_sulfonicAcid_acyclic_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
,DTXCID301517639,0.875,Tetrabutylphosphonium perfluorooctane sulfonate,DTXSID701032633,DTXCID301517639,2185049-59-4,758.56,CCCC[P+](CCCC)(CCCC)CCCC.[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.875,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S(=O)O_sulfonicAcid_acyclic_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
,DTXCID0042115,0.875,Tetraethylammonium perfluorooctanesulfonate,DTXSID5069128,DTXCID0042115,56773-42-3,629.37,CC[N+](CC)(CC)CC.[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.875,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S(=O)O_sulfonicAcid_acyclic_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
,DTXCID701518089,0.875,Tetramethylammonium perfluorooctane sulfonate,DTXSID401033056,DTXCID701518089,56773-44-5,573.26,C[N+](C)(C)C.[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.875,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S(=O)O_sulfonicAcid_acyclic_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
,DTXCID401518066,0.875,Triethylammonium perfluorooctane sulfonate,DTXSID101033033,DTXCID401518066,54439-46-2,601.32,CC[NH+](CC)CC.[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.875,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S(=O)O_sulfonicAcid_acyclic_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
,DTXCID301777552,0.75,(Heptadecafluorooctyl)(trihydroxy)phosphorane,DTXSID401348778,DTXCID301777552,NOCAS_1348778,502.064,OP(O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.75,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:OZ_oxide_hydroxy_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
,DTXCID801518349,0.75,"2-[[(Perfluorooctyl)sulfonyl]oxy]-1H-benz[de]isoquinoline-1,3(2H)-dione",DTXSID201033379,DTXCID801518349,639827-02-4,695.3,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)ON1C(=O)C2=CC=CC3=CC=CC(C1=O)=C23,0.75,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
,DTXCID101021943,0.75,"N1-(2-Aminoethyl)-N2-(2-{[(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane-1-sulfonyl)oxy]amino}ethyl)ethane-1,2-diamine",DTXSID00880546,DTXCID101021943,NOCAS_880546,644.35,NCCNCCNCCNOS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.75,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
,DTXCID801517941,0.75,Perfluorooctane sulfonic anhydride,DTXSID401032915,DTXCID801517941,423-92-7,982.24,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.75,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
,DTXCID00198214,0.75,Perfluorooctanesulfinic acid,DTXSID10904262,DTXCID00198214,647-29-0,484.13,OS(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.75,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:OZ_oxide_hydroxy_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
,DTXCID701519568,0.666666667,(E)-5-((Perfluorodec-1-enyl)fluoromethyl)perfluoropentane-1-sulfonic acid,DTXSID001035117,DTXCID701519568,NOCAS_1035117,844.2,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)C(\F)=C(/F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.666666667,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:OZ_oxide_hydroxy_CF,pfas_bond:S(=O)O_sulfonicAcid_acyclic_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:alkeneLinear_mono-ene_ethylene_generic_CF,pfas_chain:alkeneLinear_mono-ene_ethylene_generic_F,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod,pfas_chain:perF-linear_nocap_C5_excl,pfas_chain:polyF_nocap_CFCHFCF",1.00E+118
,DTXCID601325166,0.666666667,(Heptadecafluorooctyl)phosphonic acid--4-methylaniline (1/1),DTXSID20895652,DTXCID601325166,1263361-03-0,607.204,CC1=CC=C(N)C=C1.OP(O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.666666667,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:OZ_oxide_hydroxy_CF,pfas_bond:P=O_phosphorus_oxo_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
,DTXCID601017826,0.666666667,(Perfluorooctyl)phosphonic acid,DTXSID80879832,DTXCID601017826,40143-78-0,500.048,OP(O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.666666667,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:OZ_oxide_hydroxy_CF,pfas_bond:P=O_phosphorus_oxo_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
,DTXCID301511174,0.666666667,"1-(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluorooctylsulfonyloxy)ethyl 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane-1-sulfonate",DTXSID101026979,DTXCID301511174,NOCAS_1026979,1026.29,CC(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.666666667,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S(=O)O_sulfonicEster_acyclic_S-C_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
,DTXCID00814902,0.666666667,"2,3,4,5-Tetrachloro-6-[[[3-[[(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctyl)sulfonyl]oxy]phenyl]amino]carbonyl]benzoic acid",DTXSID30866636,DTXCID00814902,57589-83-0,877.12,OC(=O)C1=C(C(=O)NC2=CC(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)=CC=C2)C(Cl)=C(Cl)C(Cl)=C1Cl,0.666666667,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S(=O)O_sulfonicEster_acyclic_S-C_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
,DTXCID601776834,0.666666667,2-(4-Sulfamoylphenyl)ethyl perfluoro-1-octanesulfonate,DTXSID301348082,DTXCID601776834,NOCAS_1348082,683.35,NS(=O)(=O)C1=CC=C(CCOS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,0.666666667,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S(=O)O_sulfonicEster_acyclic_S-C_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
,DTXCID201511171,0.666666667,"4-(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluorooctylsulfonyloxy)butyl 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane-1-sulfonate",DTXSID001026976,DTXCID201511171,NOCAS_1026976,1054.34,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)OCCCCOS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.666666667,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S(=O)O_sulfonicEster_acyclic_S-C_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
,DTXCID70765134,0.666666667,"4-[(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluorooctane-1-sulfonyl)oxy]-2-hydroxybenzoic acid",DTXSID10814392,DTXCID70765134,61753-99-9,636.23,OC(=O)C1=C(O)C=C(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,0.666666667,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S(=O)O_sulfonicEster_acyclic_S-C_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
,DTXCID001477218,0.666666667,7-Difluoromethylperfluoroheptane-1-sulfonic acid,DTXSID501019229,DTXCID001477218,134615-57-9,482.14,[H]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(O)(=O)=O,0.666666667,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:OZ_oxide_hydroxy_CF,pfas_bond:S(=O)O_sulfonicAcid_acyclic_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:polyF_cap_CHF2CF",1.00E+118
,DTXCID901518297,0.666666667,Bis(perfluorooctyl) phosphinothioic acid,DTXSID701033281,DTXCID901518297,610800-36-7,918.16,OP(=S)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.666666667,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:OZ_oxide_hydroxy_CF,pfas_bond:PC_phosphorus_organo_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
,DTXCID601778642,0.666666667,"Ethyl 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-1-octanesulfonate",DTXSID301349616,DTXCID601778642,71417-26-0,528.18,CCOS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.666666667,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:S(=O)O_sulfonicEster_acyclic_S-C_(chain)_SCF,pfas_bond:S=O_sulfonyl_generic_CF,pfas_chain:perF-linear_C7_plus,pfas_chain:perF-linear_C8_plus,pfas_chain:perF-linear_cap_C6_plus,pfas_chain:perF-linear_cap_C8_excl_mod",1.00E+118
