metadata,chem_id,similarity,name,dsstox_sid,dsstox_cid,casrn,mol_weight,smiles,jaccard_chm_pfas,fp_list,fp_bitstring
,DTXCID101781466,0.090909091,3-(2-(Perfluorohexyl)ethylsulfonylamino)propanoic acid,DTXSID101352558,DTXCID101781466,NOCAS_1352558,499.24,OC(=O)CCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.090909091,"pfas_chain:FT_n2_hetero,pfas_chain:FT_n2_S,pfas_chain:perF-linear_cap_C6_excl_mod,pfas_chain:perF-linear_cap_C6_plus",1.00E+50
,DTXCID60712995,0.090909091,"3-(3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluorooctane-1-sulfonyl)propan-1-ol",DTXSID00762252,DTXCID60712995,106104-73-8,470.25,OCCCS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.090909091,"pfas_chain:FT_n2_hetero,pfas_chain:FT_n2_S,pfas_chain:perF-linear_cap_C6_excl_mod,pfas_chain:perF-linear_cap_C6_plus",1.00E+50
,DTXCID601781178,0.090909091,3-(Perfluorohexyl)-3-fluoropropan-2-one,DTXSID501352205,DTXCID601781178,NOCAS_1352205,394.108,CC(=O)C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.090909091,"pfas_bond:C=O_carbonyl_generic_CF,pfas_bond:CC(=O)C_ketone_generic_CF,pfas_chain:perF-linear_cap_C6_excl_mod,pfas_chain:perF-linear_cap_C6_plus",1.00E+114
,DTXCID401520625,0.090909091,3-(Perfluorohexyl)propane‐1‐ sulfonic acid,DTXSID101036437,DTXCID401520625,NOCAS_1036437,442.19,OS(=O)(=O)CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.090909091,"pfas_chain:FT_n3_hetero,pfas_chain:FT_n3_S,pfas_chain:perF-linear_cap_C6_excl_mod,pfas_chain:perF-linear_cap_C6_plus",1.00E+43
,DTXCID80330897,0.090909091,3-(Perfluorohexyl)propanol,DTXSID70379871,DTXCID80330897,80806-68-4,378.133,OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.090909091,"pfas_chain:FT_n3_hetero,pfas_chain:FT_n3_O,pfas_chain:perF-linear_cap_C6_excl_mod,pfas_chain:perF-linear_cap_C6_plus",1.01E+43
,DTXCID60654149,0.090909091,3-(Tridecafluorohexyl)benzene-1-thiol,DTXSID80703401,DTXCID60654149,56285-78-0,428.21,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CC(S)=CC=C1,0.090909091,"pfas_bond:aromatic_FCc1c,pfas_chain:perF-linear_cap_C6_excl_mod,pfas_chain:perF-linear_cap_C6_plus,pfas_ring:aromatic_benzene_CF",1.00E+127
,DTXCID7065592,0.090909091,"3-Chloro-4-(1,1,2,2-tetrafluoroethylsulfanyl)aniline",DTXSID80143101,DTXCID7065592,100280-17-9,259.65,NC1=CC(Cl)=C(SC(F)(F)C(F)F)C=C1,0.090909091,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:CS_sulfide_CF,pfas_chain:perF-linear_nocap_C2_excl,pfas_chain:polyF_cap_CHF2CF",1.00E+118
,DTXCID601581201,0.090909091,"3-Fluoro-N-[2-[(1,1,2,2,2-pentafluoroethyl)thio]ethyl]benzenemethanamine",DTXSID601149643,DTXCID601581201,1208079-61-1,303.27,FC1=CC=CC(CNCCSC(F)(F)C(F)(F)F)=C1,0.090909091,"pfas_bond:C~Z_CF2CF2-Z,pfas_bond:CS_sulfide_CF,pfas_chain:perF-linear_cap_C2_excl,pfas_ring:generic_CF",1.00E+118
,DTXCID40514075,0.090909091,"3-[(3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluorooctyl)oxy]propane-1,2-diol",DTXSID30563299,DTXCID40514075,126814-93-5,438.185,OCC(O)COCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.090909091,"pfas_chain:FT_n2_hetero,pfas_chain:FT_n2_O,pfas_chain:perF-linear_cap_C6_excl_mod,pfas_chain:perF-linear_cap_C6_plus",1.01E+50
,DTXCID8039249,0.090909091,"3-[(3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluorooctyl)thio]-1-propanol",DTXSID2073487,DTXCID8039249,36880-06-5,438.25,OCCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.090909091,"pfas_chain:FT_n2_hetero,pfas_chain:FT_n2_S,pfas_chain:perF-linear_cap_C6_excl_mod,pfas_chain:perF-linear_cap_C6_plus",1.00E+50
