Group,Mouse.ID,Sex,PFOA,PFOS,PFBA,PFPeA,PFHxA,PFHpA,PFNA,PFDA,PFUdA,PFDoA,PFTrDA,PFTeDA,PFBS,PFPeS,PFHxS,PFHpS,PFNS,PFDS,X4_2.FTS,X6_2_FTS,X8_2.FTS,N.MeFOSAA,N.EtFOSAA,FOSA
PFOA 1.5,FA185,Female,101.826582,0.574,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,0.388,0.466,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
PFOA 1.5,FA186,Female,100.9472434,0.574,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,0.388,0.466,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
PFOA 1.5,FA187,Female,91.25659437,0.574,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,0.388,0.466,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
PFOA 1.5,FA188,Female,109.1364465,0.574,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,0.388,0.466,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
PFOA 1.5,FA189,Female,110.865484,0.574,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,0.388,0.466,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
PFOA 1.5,FA190,Female,106.3979412,0.574,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,0.388,0.466,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
PFOA 1.5,FA191,Female,125.2851604,0.574,0.196,0.213,0.2865,0.1165,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,0.388,0.466,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
PFOA 1.5,FA192,Female,122.5404644,0.574,0.196,0.213,0.2865,0.228330739,0.383,0.515,0.186,0.2875,0.262,0.281,0.374,0.6315,0.388,0.466,0.411,0.6545,0.1845,0.6905,0.677,0.7275,0.427,0.2565
PFOS 0.166,FS193,Female,0.078,58.2598031,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.178302639,0.651272264,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
PFOS 0.166,FS194,Female,0.078,55.69864858,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.161310621,0.599035341,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
PFOS 0.166,FS195,Female,0.078,53.61617532,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.14169368,0.580268609,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
PFOS 0.166,FS196,Female,0.078,36.37977651,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.0775,0.362653858,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
PFOS 0.166,FS197,Female,0.078,49.1572097,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.136539948,0.556324785,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
PFOS 0.166,FS198,Female,0.078,46.42905262,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.197313719,0.576540153,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
PFOS 0.166,FS199,Female,0.078,51.75953386,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.164880679,0.49785977,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
PFOS 0.166,FS200,Female,0.078,44.78221233,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.145963183,0.477705928,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
PFOS 0.5,FS201,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PFOS 0.5,FS202,Female,0.078,147.162063,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.352416174,1.499883667,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
PFOS 0.5,FS203,Female,0.078,179.2371108,0.039,0.0425,0.0575,0.0235,0.0765,0.103,0.037,0.0575,0.0525,0.056,0.075,0.1265,0.478611687,1.866406683,0.082,0.131,0.037,0.138,0.1355,0.1455,0.0855,0.0515
